issued_amount,initial_interest_rate,initial_loan_duration,loan_amount_band,loan_term_bucket,interest_rate_bucket,country_grouped,customer_risk_rating_was_missing
4150.0,0.1,60,high,49-60mo,very_low,Finland,1
3113.0,0.2,36,medium,25-36mo,high,Finland,1
3425.0,0.2,60,high,49-60mo,high,Finland,1
2020.0,0.5973,60,medium,49-60mo,very_high,Finland,1
8399.0,0.1578,60,very_high,49-60mo,very_low,Estonia,1
518.0,0.1,60,very_low,49-60mo,very_low,Finland,1
1452.0,0.3135,60,low,49-60mo,very_high,Finland,1
531.0,0.2532,60,very_low,49-60mo,high,Estonia,1
3189.0,0.1594,60,high,49-60mo,very_low,Estonia,1
518.0,0.1,48,very_low,37-48mo,very_low,Finland,1
530.0,0.1785,6,very_low,<=12mo,low,Estonia,1
4150.0,0.149,120,high,60mo+,very_low,Finland,1
2020.0,0.5962,48,medium,37-48mo,very_high,Finland,1
2020.0,0.5973,60,medium,49-60mo,very_high,Finland,1
3189.0,0.3465,60,high,49-60mo,very_high,Spain,1
2655.0,0.2736,60,medium,49-60mo,high,Estonia,1
955.0,0.2808,36,low,25-36mo,high,Estonia,1
637.0,0.3573,60,low,49-60mo,very_high,Estonia,1
6379.0,0.3917,60,very_high,49-60mo,very_high,Estonia,1
2335.0,0.5853,48,medium,37-48mo,very_high,Finland,1
5635.0,0.2142,60,very_high,49-60mo,high,Estonia,1
531.0,0.1513,36,very_low,25-36mo,very_low,Estonia,1
3402.0,0.1972,60,high,49-60mo,medium,Estonia,1
4150.0,0.2,48,high,37-48mo,high,Finland,1
4253.0,0.205,36,very_high,25-36mo,high,Estonia,1
3721.0,0.09,60,high,49-60mo,very_low,Estonia,1
1807.0,0.3397,60,medium,49-60mo,very_high,Estonia,1
744.0,0.1721,60,low,49-60mo,low,Estonia,1
3720.0,0.1705,60,high,49-60mo,low,Finland,1
2020.0,0.3328,36,medium,25-36mo,very_high,Estonia,1
850.0,0.319,30,low,25-36mo,very_high,Estonia,1
1063.0,0.1642,60,low,49-60mo,low,Estonia,1
530.0,0.3825,60,very_low,49-60mo,very_high,Estonia,1
3721.0,0.1626,60,high,49-60mo,very_low,Estonia,1
4150.0,0.1,60,high,49-60mo,very_low,Finland,1
3451.0,0.5009,36,high,25-36mo,very_high,Finland,1
4250.0,0.5973,60,very_high,49-60mo,very_high,Finland,1
4150.0,0.09,36,high,25-36mo,very_low,Finland,1
4253.0,0.1689,60,very_high,49-60mo,low,Spain,1
2977.0,0.1118,24,medium,13-24mo,very_low,Estonia,1
1275.0,0.5973,18,low,13-24mo,very_high,Spain,1
1913.0,0.2263,60,medium,49-60mo,high,Estonia,1
2125.0,0.562,48,medium,37-48mo,very_high,Finland,1
4253.0,0.3232,36,very_high,25-36mo,very_high,Estonia,1
2764.0,0.1847,60,medium,49-60mo,low,Estonia,1
