scenario,interest_rate_shock,initial_interest_rate,interest_rate_bucket,predicted_pd
Baseline,0.0,0.323,very_high,0.21285140562248997
Baseline,0.0,0.2238,high,0.05081381500595474
Baseline,0.0,0.323,very_high,0.22661961179732795
Baseline,0.0,0.1927,low,0.13391662951404368
Baseline,0.0,0.1927,low,0.08408752434414023
Baseline,0.0,0.1805,low,0.13391662951404368
Baseline,0.0,0.1927,low,0.13391662951404368
Baseline,0.0,0.1927,low,0.11290322580645161
Baseline,0.0,0.1927,low,0.08408752434414023
Baseline,0.0,0.1899,low,0.13391662951404368
Baseline,0.0,0.1805,low,0.040262172284644196
Baseline,0.0,0.1927,low,0.01762632197414806
Baseline,0.0,0.1927,low,0.13391662951404368
Baseline,0.0,0.1927,low,0.040262172284644196
Baseline,0.0,0.1927,low,0.05081381500595474
Baseline,0.0,0.1927,low,0.07830687830687831
Baseline,0.0,0.1927,low,0.13391662951404368
Baseline,0.0,0.1805,low,0.09293914137442995
Baseline,0.0,0.1899,low,0.09293914137442995
Baseline,0.0,0.1927,low,0.13391662951404368
Baseline,0.0,0.199,medium,0.22661961179732795
Baseline,0.0,0.1927,low,0.13391662951404368
Baseline,0.0,0.1805,low,0.09293914137442995
Baseline,0.0,0.109,very_low,0.08408752434414023
Baseline,0.0,0.109,very_low,0.13391662951404368
Baseline,0.0,0.1805,low,0.13391662951404368
Baseline,0.0,0.1927,low,0.0725967291583566
Baseline,0.0,0.1927,low,0.05081381500595474
Baseline,0.0,0.1927,low,0.09293914137442995
Baseline,0.0,0.1927,low,0.08408752434414023
Baseline,0.0,0.1927,low,0.01762632197414806
Baseline,0.0,0.2939,high,0.22661961179732795
Baseline,0.0,0.1799,low,0.040262172284644196
Baseline,0.0,0.109,very_low,0.13391662951404368
Baseline,0.0,0.1927,low,0.01762632197414806
Baseline,0.0,0.2909,high,0.05081381500595474
Baseline,0.0,0.1927,low,0.13391662951404368
Baseline,0.0,0.1899,low,0.09293914137442995
Baseline,0.0,0.1927,low,0.03289473684210526
Baseline,0.0,0.1927,low,0.13391662951404368
Baseline,0.0,0.1899,low,0.09012617664730622
Baseline,0.0,0.1927,low,0.13391662951404368
Baseline,0.0,0.1899,low,0.09012617664730622
Baseline,0.0,0.1423,very_low,0.09012617664730622
Baseline,0.0,0.1927,low,0.08408752434414023
Baseline,0.0,0.1805,low,0.09012617664730622
Baseline,0.0,0.1805,low,0.09293914137442995
Baseline,0.0,0.323,very_high,0.22661961179732795
Baseline,0.0,0.1805,low,0.05081381500595474
Baseline,0.0,0.323,very_high,0.2586490939044481
Baseline,0.0,0.1927,low,0.05081381500595474
Baseline,0.0,0.1927,low,0.0725967291583566
Baseline,0.0,0.1927,low,0.13391662951404368
Baseline,0.0,0.1927,low,0.01762632197414806
Baseline,0.0,0.1927,low,0.13391662951404368
Baseline,0.0,0.1805,low,0.13391662951404368
Baseline,0.0,0.1805,low,0.09012617664730622
Baseline,0.0,0.2939,high,0.13391662951404368
Baseline,0.0,0.323,very_high,0.21285140562248997
Baseline,0.0,0.1805,low,0.09293914137442995
Baseline,0.0,0.1927,low,0.13391662951404368
Baseline,0.0,0.1805,low,0.09293914137442995
Baseline,0.0,0.1805,low,0.09293914137442995
Baseline,0.0,0.1927,low,0.13391662951404368
Baseline,0.0,0.1927,low,0.13391662951404368
Baseline,0.0,0.1927,low,0.05081381500595474
Baseline,0.0,0.0914,very_low,0.05081381500595474
Baseline,0.0,0.1927,low,0.040262172284644196
Baseline,0.0,0.1927,low,0.13391662951404368
Baseline,0.0,0.1805,low,0.05081381500595474
Baseline,0.0,0.1805,low,0.2981342426492813
Baseline,0.0,0.1805,low,0.05081381500595474
Baseline,0.0,0.2939,high,0.22661961179732795
Baseline,0.0,0.1927,low,0.08408752434414023
Baseline,0.0,0.323,very_high,0.22661961179732795
Baseline,0.0,0.1107,very_low,0.05081381500595474
Baseline,0.0,0.099,very_low,0.08408752434414023
Baseline,0.0,0.1927,low,0.05081381500595474
Baseline,0.0,0.1927,low,0.08408752434414023
Baseline,0.0,0.1927,low,0.05081381500595474
Baseline,0.0,0.1805,low,0.13391662951404368
Baseline,0.0,0.1927,low,0.08408752434414023
Baseline,0.0,0.323,very_high,0.21285140562248997
Baseline,0.0,0.1927,low,0.0725967291583566
Baseline,0.0,0.1123,very_low,0.05081381500595474
Baseline,0.0,0.1927,low,0.08408752434414023
Baseline,0.0,0.1805,low,0.09293914137442995
Baseline,0.0,0.1927,low,0.05081381500595474
Baseline,0.0,0.1927,low,0.11290322580645161
Baseline,0.0,0.1805,low,0.09293914137442995
Baseline,0.0,0.1927,low,0.05081381500595474
Baseline,0.0,0.1927,low,0.05081381500595474
Baseline,0.0,0.199,medium,0.3026315789473684
Baseline,0.0,0.092,very_low,0.13391662951404368
Baseline,0.0,0.1927,low,0.13391662951404368
Baseline,0.0,0.1499,very_low,0.08953341740226986
Baseline,0.0,0.1927,low,0.09293914137442995
Baseline,0.0,0.323,very_high,0.21285140562248997
Baseline,0.0,0.1927,low,0.13391662951404368
Baseline,0.0,0.2939,high,0.30736842105263157
Baseline,0.0,0.2199,high,0.22661961179732795
Baseline,0.0,0.1899,low,0.09293914137442995
Baseline,0.0,0.109,very_low,0.13391662951404368
Baseline,0.0,0.1927,low,0.13391662951404368
Baseline,0.0,0.1927,low,0.05081381500595474
Baseline,0.0,0.1805,low,0.041666666666666664
Baseline,0.0,0.1927,low,0.13391662951404368
Baseline,0.0,0.1927,low,0.13391662951404368
Baseline,0.0,0.1899,low,0.08408752434414023
Baseline,0.0,0.1899,low,0.09012617664730622
Baseline,0.0,0.323,very_high,0.21285140562248997
Baseline,0.0,0.092,very_low,0.13391662951404368
Baseline,0.0,0.1805,low,0.09012617664730622
Baseline,0.0,0.1927,low,0.08408752434414023
Baseline,0.0,0.092,very_low,0.13391662951404368
Baseline,0.0,0.1927,low,0.13391662951404368
Baseline,0.0,0.1927,low,0.13391662951404368
Baseline,0.0,0.1805,low,0.22661961179732795
Baseline,0.0,0.1805,low,0.30736842105263157
Baseline,0.0,0.1927,low,0.08953341740226986
Baseline,0.0,0.1927,low,0.05081381500595474
Baseline,0.0,0.1927,low,0.05081381500595474
Baseline,0.0,0.1927,low,0.08408752434414023
Baseline,0.0,0.0957,very_low,0.09293914137442995
Baseline,0.0,0.1927,low,0.13391662951404368
Baseline,0.0,0.109,very_low,0.09012617664730622
Baseline,0.0,0.1812,low,0.09012617664730622
Baseline,0.0,0.1927,low,0.13391662951404368
Baseline,0.0,0.0957,very_low,0.08408752434414023
